OBJECTID,CODE,TYPELOCAL,NOM,SERV_ECOLE,SERV_POSTE,SERV_DOUAN,SERV_GENDA,SERV_HOPIT,SERV_INFR_,SERV_MUSUL,SERV_CHRET,SERV_CHAT_,SERV_PT_EA,SERV_ANT_H,SERV_EOLIE,SERV_PUITS,THEME,PAYS,IDUU,longitude,latitude
"285","4600060","6",Pir Gourey,"1","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,3cd54384-84b8-469a-ab43-7a12304531e4,313518.0000000,1660557.0000000
"286","4600060","6",Thilmakha,"1","1","0","0","0","1","1","0","1","0","1","0","0",LA,SN,7896b706-9567-4f23-bc5d-138e3b3a1d96,365401.0000000,1662854.0000000
"287","4600060","6",Taïba Ndiaye,"1","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,551a7a38-e2f5-403f-83a5-853392df31f3,298019.0000000,1663519.0000000
"288","4600060","6",Déali,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,e36e7a08-ba00-4645-b47b-fae9b3f25bc6,423345.0000000,1663936.0000000
"289","4600060","6",Bokiladji,"1","1","0","0","0","1","1","0","1","0","1","0","0",LA,SN,b4b358db-47cd-4ced-89ba-0caa593f2f6a,742417.0000000,1666031.0000000
"290","4600060","6",Koul,"1","0","0","0","0","1","0","0","1","0","1","0","0",LA,SN,a5cd886a-d9d6-4cf4-9b65-84a1b76543b0,324951.0000000,1666507.0000000
"291","4600060","6",Mbadiane,"1","0","0","0","0","0","0","0","0","0","0","0","0",LA,SN,c6ffd986-156c-44c6-afc1-abcd226ab894,406193.0000000,1669697.0000000
"292","4600060","6",Darou Marnane,"1","0","0","0","0","1","1","0","0","0","1","0","0",LA,SN,ce43e237-a2b6-4af6-bc9a-e7e7770b4f3a,374253.0000000,1670223.0000000
"293","4600060","6",Darou Khoudos,"1","0","0","0","0","1","0","1","1","0","1","0","0",LA,SN,9dea8205-d053-49ad-a85d-2bf4361e7e84,299401.0000000,1670533.0000000
"294","4600060","6",Pékés,"1","1","0","0","0","1","1","0","0","0","1","0","0",LA,SN,212d2bb2-cb13-4793-95c9-9dc33fc0a1d3,347524.0000000,1671232.0000000
"295","4600060","6",Aouré,"1","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,234a85ee-ca2b-452d-b02a-805a327cc114,720399.0000000,1674913.0000000
"296","4600060","6",Mbayéne,"1","0","0","0","0","1","0","0","1","0","1","0","0",LA,SN,625ef589-0301-4563-980c-95cd2ab4cb9a,360019.0000000,1678153.0000000
"297","4600060","6",Tiargni,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,26d66b51-e303-4f52-9bde-088c58726c8a,469340.0000000,1679146.0000000
"298","4600060","6",Sam Yabal,"0","0","0","0","0","1","0","0","0","0","1","0","0",LA,SN,e768f80f-6762-4be0-a62c-6297b71f8b52,403307.0000000,1681501.0000000
"299","4600060","6",Ndoyène,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,963f6377-a8a5-4a49-8003-9f8a6522321a,383759.0000000,1684583.0000000
"300","4600060","6",Touba Mérina,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,55abd6fd-4483-48c4-91ab-ea1b8060f4bf,391212.0000000,1686837.0000000
"301","4600060","6",Ngandiouf,"0","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,d363cd24-d778-455a-890d-fef5347a3dfb,348876.0000000,1688249.0000000
"302","4600060","6",Loro,"1","0","0","0","0","1","1","0","0","0","1","0","0",LA,SN,efe176a6-b23f-4390-b146-21dbea292204,381208.0000000,1689205.0000000
"303","4600050","4",Orkadiéré,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,87ff9abd-859f-4666-9c4e-f0a784854dfc,718855.0000000,1690698.0000000
"304","4600060","6",Kab Gaye,"1","0","0","0","0","1","0","0","1","0","0","0","0",LA,SN,0a3f124a-be07-4791-a6c4-5357d68d0719,325272.0000000,1693486.0000000
"305","4600060","6",Tiolom Fal,"1","0","0","0","0","1","0","0","1","0","1","0","0",LA,SN,90e0ed25-b022-45cf-ae7b-a0d8bb464995,358216.0000000,1697099.0000000
"306","4600060","6",Kanène Ndiob,"0","0","0","0","0","1","1","0","0","0","0","0","0",LA,SN,a934cd4b-eca9-464f-b2ec-735d2707a066,374128.0000000,1699179.0000000
"307","4600060","6",Diokoul Diawrigne,"1","0","0","0","0","1","1","0","0","0","1","0","0",LA,SN,35f34365-5605-4387-8783-5336aa5e7381,337122.0000000,1700321.0000000
"308","4600060","6",Ouarkhokh,"1","0","0","0","0","1","1","0","0","1","1","0","0",LA,SN,3b2ff896-b811-4f33-858b-8c620b6e92be,474608.0000000,1700908.0000000
"309","4600060","6",Boulal,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,cbf7b7ea-2aeb-437b-9ffe-06eb9e78a24e,429056.0000000,1702564.0000000
"310","4600060","6",Ndiagne,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,a719ea75-d23a-4d49-bee0-d9244154537b,384683.0000000,1704631.0000000
"311","4600050","4",Ouro Sidi,"1","0","0","0","0","0","1","0","1","0","0","0","0",LA,SN,a1397faf-f216-4857-88cc-da4095f79af2,695816.0000000,1706272.0000000
"312","4600060","6",Guéoul,"1","1","0","0","0","1","1","0","0","0","1","0","0",LA,SN,edbc067a-926c-4d23-b244-6d508d3d5117,356159.0000000,1711959.0000000
